a52dec 0.8.0-2
abseil-cpp 20240722.0-1
accounts-qml-module 0.7-6
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 46.2-1
adwaita-icon-theme 46.2-1
adwaita-icon-theme-legacy 46.2-1
alacritty 0.13.2-2
alsa-card-profiles 1:1.2.3-1
alsa-lib 1.2.12-1
alsa-plugins 1:1.2.12-3
alsa-tools 1.2.11-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
alure 1.2-11
amd-ucode 20240809.59460076-1
aom 3.10.0-1
appstream 1.0.3-1
aquamarine 0.4.0-1
archlinux-keyring 20240709-1
argon2 20190702-6
aribb24 1.0.3-4
ark 24.08.0-1
asar 3.2.8-1
aspnet-runtime 8.0.7.sdk107-1
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attica 6.5.0-1
attica5 5.116.0-1
attr 2.5.2-1
audacity 1:3.6.2-1
audit 4.0.2-2
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
ayatana-ido 0.10.4-1
balena-etcher-electron-bin 1.18.8-1
baloo 6.5.0-1
baloo-widgets 24.08.0-1
baobab 46.0-1
base 3-2
base-devel 1-1
bash 5.2.032-2
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-6
blas 3.12.0-5
blueman 2.4.3-1
bluez 5.77-1
bluez-libs 5.77-1
bluez-utils 5.77-1
boost-libs 1.86.0-1
brave-bin 1:1.69.162-1
breeze-icons 6.5.0-1
brightnessctl 0.5.1-3
brotli 1.1.0-2
bruno-bin-debug 1.20.1-1
btop 1.3.2-1
btrfs-progs 6.10.1-2
bubblewrap 0.10.0-1
bucklespring 1.5.1-2
bzip2 1.0.8-6
c-ares 1.33.1-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.104-1
ca-certificates-utils 20240618-1
cairo 1.18.2-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
calibre 7.17.0-1
cantarell-fonts 1:0.303.1-2
cblas 3.12.0-5
cdparanoia 10.2-9
check 0.15.2-2
chmlib 0.40-7
chromium 128.0.6613.119-1
chrono-date 3.0.1-4
cifs-utils 7.0-5
clang 18.1.8-2
cliphist 1:0.5.0-1
cloudflare-warp-bin 2024.6.497-1
cloudflare-warp-bin-debug 2024.6.497-1
cloudflared 2024.8.3-1
cmake 3.30.3-1
compiler-rt 18.1.8-1
composefs 1.0.4-1
convertlit 1.8-12
coreutils 9.5-2
cpio 2.15-2
cppdap 1.58.0-2
cryptsetup 2.7.5-1
curl 8.9.1-2
dav1d 1.4.3-1
db 6.2.32-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dconf 0.40.0-3
debugedit 5.0-6
default-cursors 2-2
desktop-file-utils 0.27-1
device-mapper 2.03.26-1
diffutils 3.10-1
discord 0.0.67-1
dnssec-anchors 20190629-4
dolphin 24.08.0-1
dos2unix 7.5.2-2
dosfstools 4.2-5
dotnet-host 8.0.7.sdk107-1
dotnet-runtime 8.0.7.sdk107-1
dotnet-sdk 8.0.7.sdk107-1
dotnet-targeting-pack 8.0.7.sdk107-1
double-conversion 3.3.0-2
dpkg 1.22.11-1
duktape 2.7.0-7
dumb 2.0.3-4
dunst 1.11.0-1
dust 1.1.1-1
e2fsprogs 1.47.1-4
ebook-tools 0.2.2-8
efibootmgr 18-3
efivar 39-1
electron 1:32-1
electron28 28.3.3-2
electron30 30.4.0-1
electron31 31.4.0-1
electron32 32.0.2-1
electron9-bin 9.4.4-2
electron9-bin-debug 9.4.4-2
enchant 2.8.0-1
erlang-nox 27.0.1-1
exiv2 0.28.3-1
exo 4.18.0-2
expat 2.6.3-2
extra-cmake-modules 6.5.0-1
eza 0.19.2-1
faad2 2.11.1-1
fakeroot 1.36-1
fd 10.2.0-1
ffmpeg 2:7.0.2-1
ffmpeg4.4 4.4.4-6
ffmpegthumbnailer 2.2.2-6
ffmpegthumbs 24.08.0-1
fftw 3.3.10-7
file 5.45-1
filesystem 2024.04.07-1
findutils 4.10.0-2
firefox 130.0-1
flac 1.4.3-2
flatpak 1:1.15.10-1
flex 2.6.4-5
fluidsynth 2.3.6-1
fmt 10.2.0-1
foliate 3.1.1-1
